host_type,device_type,size_mb,combination,h2d,kernel,d2h,host_alloc_free,device_alloc_free,average_pipeline
0,0,1,pageable + device,0.295,0.017,0.23,0.0,0.289,1.42
0,0,4,pageable + device,0.87,0.038,0.638,0.0,0.605,4.12
0,0,16,pageable + device,3.343,0.144,2.378,0.001,0.9969999999999999,14.17
0,0,64,pageable + device,15.265,0.557,12.505,3.026,1.893,89.88
0,0,256,pageable + device,63.034,2.263,52.828,10.317,3.226,357.45
0,0,512,pageable + device,126.783,4.277,107.46,19.249,3.502,755.98
0,1,1,pageable + managed-device,0.351,0.087,0.233,0.0,0.082,1.32
0,1,4,pageable + managed-device,0.906,0.357,0.649,0.0,0.266,4.14
0,1,16,pageable + managed-device,3.687,1.405,2.41,0.0,0.994,16.13
0,1,64,pageable + managed-device,15.127,5.75,12.475,3.5639999999999996,3.755,100.66
0,1,256,pageable + managed-device,63.912,35.337,53.797,12.343,14.6,414.7
0,1,512,pageable + managed-device,128.202,45.462,108.386,21.789,29.026,811.54
1,0,1,pinned + device,0.1,0.013,0.088,0.877,0.262,2.0
1,0,4,pinned + device,0.355,0.036,0.329,1.577,0.539,4.78
1,0,16,pinned + device,1.378,0.142,1.288,6.217,0.883,17.15
1,0,64,pinned + device,5.531,0.563,5.149,34.918,1.7670000000000001,80.55
1,0,256,pinned + device,21.99,2.206,20.716,137.01,3.0780000000000003,309.07
1,0,512,pinned + device,43.821,4.386,41.021,271.05899999999997,3.371,611.55
1,1,1,pinned + managed-device,0.154,0.087,0.091,0.923,0.08,2.31
1,1,4,pinned + managed-device,0.489,0.387,0.334,1.5739999999999998,0.32699999999999996,5.06
1,1,16,pinned + managed-device,1.833,1.436,1.291,6.157,1.1700000000000002,19.57
1,1,64,pinned + managed-device,7.358,5.889,5.112,32.869,4.622,89.57
1,1,256,pinned + managed-device,28.887,22.269,20.397,134.591,14.546,353.73
1,1,512,pinned + managed-device,59.664,45.573,40.785,269.089,28.991,713.36
2,0,1,write-combine + device,0.1,0.013,0.088,1.318,0.267,2.76
2,0,4,write-combine + device,0.355,0.036,0.329,1.982,0.549,5.59
2,0,16,write-combine + device,1.376,0.141,1.286,7.779999999999999,0.881,20.01
2,0,64,write-combine + device,5.467,0.562,5.12,39.222,1.7200000000000002,86.92
2,0,256,write-combine + device,21.774,2.232,20.712,148.147,3.0469999999999997,333.63
2,0,512,write-combine + device,43.497,4.384,40.851,292.063,3.3640000000000003,660.08
2,1,1,write-combine + managed-device,0.149,0.085,0.09,1.362,0.078,2.63
2,1,4,write-combine + managed-device,0.496,0.364,0.332,1.955,0.252,5.86
2,1,16,write-combine + managed-device,1.883,1.399,1.289,7.269,0.9470000000000001,21.86
2,1,64,write-combine + managed-device,7.282,5.657,5.111,37.001000000000005,4.292,96.41
2,1,256,write-combine + managed-device,28.971,22.593,20.399,148.21699999999998,14.547,437.2
2,1,512,write-combine + managed-device,59.268,44.307,40.782,294.467,28.996000000000002,764.83
3,0,1,managed-host + device,0.292,0.013,0.228,0.078,0.309,1.93
3,0,4,managed-host + device,0.87,0.036,0.647,0.15,0.5840000000000001,5.56
3,0,16,managed-host + device,3.255,0.147,2.435,0.454,0.976,19.5
3,0,64,managed-host + device,15.466,0.554,11.578,1.6829999999999998,1.946,82.43
3,0,256,managed-host + device,63.254,2.203,49.236,6.489999999999999,3.233,324.4
3,0,512,managed-host + device,127.667,4.385,100.953,13.134,3.5029999999999997,650.3
3,1,1,managed-host + managed-device,0.344,0.145,0.228,0.082,0.073,1.89
3,1,4,managed-host + managed-device,0.909,0.356,0.656,0.13999999999999999,0.253,5.61
3,1,16,managed-host + managed-device,3.286,1.412,2.433,0.44,0.9670000000000001,23.25
3,1,64,managed-host + managed-device,15.655,9.025,11.632,1.674,4.05,95.3
3,1,256,managed-host + managed-device,64.419,22.69,50.171,6.51,14.571,368.52
3,1,512,managed-host + managed-device,129.554,45.627,101.234,13.291,29.032,737.7
4,0,1,mapped-zero-copy + device,,0.116,,0.867,0.257,1.88
4,0,4,mapped-zero-copy + device,,0.399,,1.603,0.538,4.34
4,0,16,mapped-zero-copy + device,,1.55,,6.286999999999999,0.869,15.66
4,0,64,mapped-zero-copy + device,,6.158,,34.804,1.77,72.98
4,0,256,mapped-zero-copy + device,,24.535,,137.301,3.0780000000000003,283.12
4,0,512,mapped-zero-copy + device,,48.97,,269.654,3.38,557.69
